RAL,RGB,HEX,CMYK,LRV,Inglese,Tedesco,Francese,Spagnolo,Italiano,Olandese
RAL 1037,240-146-0,#F09200,0-39-100-6,40.61,Giallo sole,Sonnengelb,Jaune soleil,Amarillo sol,Giallo sole,Zonnegeel
RAL 2000,218-110-0,#DA6E00,0-50-100-15,28.22,Arancio giallo,Gelborange,Orangé jaune,Amarillo naranja,Arancio giallastro,Geeloranje
RAL 2001,186-72-28,#BA481C,0-61-85-27,17.78,Arancio rosso,Rotorange,Orangé rouge,Rojo anaranjado,Arancio rossastro,Roodoranje
RAL 2002,191-57-34,#BF3922,0-70-82-25,16.33,Vermiglio,Blutoarancio,Orangé sang,Naranja sanguiíneo,Arancio sanguigno,Vermiljoen
RAL 2003,246-120-41,#F67829,0-51-83-4,34.84,Arancio pastello,Arancione pastello,Orange pastello,Naranja pálido,Arancio pastello,Pasteloranje
RAL 2004,226-83-4,#E25304,0-63-98-11,24.61,Arancio puro,Reinorange,Orangé pur,Naranja puro,Arancio puro,Zuiver arancione
RAL 2005,255-77-8,#FF4D08,0-70-97-0,33.91,Arancio luminoso,Arancio chiaro,Orange brillante,Naranja brillante,Arancio brillante,Briljantoranje
RAL 2007,255-178-0,#FFB200,0-30-100-0,61.33,Arancio luminoso luminoso,Leuchthellorange,Orange clair brillant,Naranja claro brillante,Arancio chiaro brillante,Briljant lichtoranje
RAL 2008,236-107-34,#EC6B22,0-55-86-7,29.95,Arancio rosso brillante,Hellrotorange,Orangé rouge clair,Rojo claro anaranjado,Rosso arancio chiaro,Licht roodoranje
RAL 2009,222-83-8,#DE5308,0-63-96-13,23.78,Arancio traffico,Verkehrsorange,Segnalazione arancione,Naranja tráfico,Arancio traffico,Verkeersoranje
RAL 2010,208-93-41,#D05D29,0-55-80-18,23.01,Arancio segnale,Arancione segnale,Arancione di sicurezza,Naranja señales,Arancio segnale,Signaaloranje
RAL 2011,226-110-15,#E26E0F,0-51-93-11,29.44,Arancio intenso,Tieforange,Orangé foncé,Naranja intenso,Arancio profondo,Dieporanje
RAL 2012,213-101-78,#D5654E,0-53-63-16,25.27,Arancio salmone,Lachsorange,Orangé saumon,Naranja salmón,Arancio salmone,Zalmoranje
RAL 2013,146-62-37,#923E25,0-58-75-43,14.25,Arancio perla,Perlorange,Orange nacré,Naranja perlado,Arancio perlato,Parelmoeroranje
RAL 2017,252-85-0,#FC5500,0-66-100-1,,RAL arancione,RAL arancione,Orange RAL,Naranja RAL,Arancio RAL,RAL arancione
RAL 3000,167-41-32,#A72920,0-75-81-35,12.63,Rosso fiamma,Feuerrot,Rouge feu,Rojo vivo,Rosso fuoco,Vuurrood
RAL 3001,155-36-35,#9B2423,0-77-77-39,11.09,Rosso segnale,Signalrot,Rouge de sécurité,Rojo señales,Rosso segnale,Signaalrood
RAL 3002,155-35-33,#9B2321,0-77-79-39,10.80,Rosso carminio,Karminrot,Rouge carmin,Rojo carmin,Rosso carminio,Karmijnrood
RAL 3003,134-26-34,#861A22,0-81-75-47,8.75,Rosso rubino,Rubinrot,Rouge rubis,Rojo rubí,Rosso rubino,Robijnrood
RAL 3004,107-28-35,#6B1C23,0-74-67-58,7.39,Rosso viola,Purpurrot,Rouge pourpre,Rojo púrpura,Rosso porpora,Purperrood
RAL 3005,89-25-31,#59191F,0-72-65-65,6.50,Rosso vino,Weinrot,Rouge vin,Rojo vino,Rosso vino,Wijnrood
RAL 3007,62-32-34,#3E2022,0-48-45-76,5.47,Rosso nero,Schwarzrot,Rouge noir,Rojo negruzco,Rosso nerastro,Zwartrood
RAL 3009,109-52-45,#6D342D,0-52-59-57,8.50,Rosso ossido,Oxidrot,Rouge oxyde,Rojo óxido,Rosso ossido,Oxyderood
RAL 3011,120-36-35,#782423,0-70-71-53,8.22,Rosso marrone,Braunrot,Rouge brun,Rojo pardo,Rosso marrone,Bruinrood
RAL 3012,197-133-109,#C5856D,0-32-45-23,31.93,Rosso beige,Beigerot,Rouge beige,Rojo beige,Rosso beige,Beigerood
RAL 3013,151-46-37,#972E25,0-70-75-41,11.36,Rosso pomodoro,Tomatenrot,Rouge tomate,Rojo tomate,Rosso pomodoro,Tomaatrood
RAL 3014,203-115-117,#CB7375,0-43-42-20,27.79,Rosa antico,Altrosa,Vieux rose,Rojo viejo,Rosa antico,Oudroze
RAL 3015,216-160-166,#D8A0A6,0-26-23-15,44.15,Rosa chiaro,Hellrosa,Rose clair,Rosa claro,Rosa chiaro,Lichtroze
RAL 3016,166-61-48,#A63D30,0-63-71-35,13.96,Rosso corallo,Korallenrot,Rouge corail,Rojo coral,Rosso corallo,Koraalrood
RAL 3017,202-85-93,#CA555D,0-58-54-21,21.80,Rosa,Rosato,Rosato,Rosa,Rosato,Bleekrood
RAL 3018,198-63-74,#C63F4A,0-68-63-22,18.61,Rosso fragola,Erdbeerrot,Rouge fraise,Rojo fresa,Rosso fragola,Aardbeirood
RAL 3020,187-31-17,#BB1F11,0-83-91-27,14.16,Rosso traffico,Verkehrsrot,Rouge signalisation,Rojo tráfico,Rosso traffico,Verkeersrood
RAL 3022,207-105-85,#CF6955,0-49-59-19,25.49,Rosa salmone,Lachsrot,Rouge saumon,Rojo salmón,Rosso salmone,Zalmrood
RAL 3024,255-45-33,#FF2D21,0-82-87-0,24.33,Rosso luminoso,Leuchtrot,Rouge brillantint,Rojo brillante,Rosso brillante,Briljantrood
RAL 3026,255-42-28,#FF2A1C,0-84-89-0,26.10,Rosso luminoso luminoso,Leuchthellrot,Rouge clair brillantint,Rojo claro brillante,Rosso chiaro brillante,Briljant lichtrood
RAL 3027,171-39-60,#AB273C,0-77-65-33,13.04,Rosso lampone,Himbeerrot,Rouge framboise,Rojo frambuesa,Rosso lampone,Framboosrood
RAL 3028,204-44-36,#CC2C24,0-78-82-20,17.29,Rosso puro,Reinrot,Rouge pu,Rojo puro,Rosso puro,Zuiver rood
RAL 3031,166-52-55,#A63437,0-69-67-35,13.57,Rosso oriente,Orientrot,Rouge oriental,Rojo oriente,Rosso oriente,Oriëntrood
RAL 3032,112-29-36,#701D24,0-74-68-56,8.36,Rosso rubino perla,Perlrubinrot,Rouge rubis nacré,Rojo rubí perlado,Rosso rubino perlato,Parelmoerdonkerrood
RAL 3033,165-58-46,#A53A2E,0-65-72-35,16.19,Rosa perla,Perlrosa,Rosa nacré,Rosa perlado,Rosa perlato,Parelmoerlichtrood
RAL 4001,129-97-131,#816183,2-26-0-49,17.50,Lilla rosso,Rotlila,Lilas rouge,Rojo lila,Lilla rossastro,Roodlila
RAL 4002,141-60-75,#8D3C4B,0-57-47-45,12.31,Rosso viola,Rotviolett,Violet rouge,Rojo violeta,Viola rossastro,Roodpaars
RAL 4003,196-97-140,#C4618C,0-51-29-23,24.50,Viola erica,Erikaviolett,Viola bruyère,Violeta érica,Viola erica,Heidepaars
RAL 4004,101-30-56,#651E38,0-70-45-60,7.18,Viola bordeaux,Bordeauxviolett,Viola bordeaux,Burdeos,Viola bordeaux,Bordeauxpaars
RAL 4005,118-104-154,#76689A,23-32-0-40,18.87,Lilla blu,Blaulila,Lilas bleu,Lila azulado,Lilla bluastro,Blauwlila
RAL 4006,144-51-115,#903373,0-65-20-44,12.69,Viola traffico,Verkehrspurpur,Pourpre signalisation,Púrpurá tráfico,Porpora traffico,Verkeerspurper
RAL 4007,71-36-60,#47243C,0-49-15-72,6.24,Viola viola,Purpurviolett,Violet pourpre,Violeta púrpura,Porpora violetto,Purperviolet
RAL 4008,132-76-130,#844C82,0-42-2-48,14.21,Segnale viola,Segnale viola,Violet de sécurité,Violeta señales,Violetto segnale,Segnaalviolet
RAL 4009,157-134-146,#9D8692,0-15-7-38,27.96,Viola pastello,Pastelloviolett,Viola pastello,Violeta pastello,Violetto pastello,Pastellovioletto
RAL 4010,187-64-119,#BB4077,0-66-36-27,18.48,Telemagenta,Telemagenta,Telemagenta,Magenta tele,Telemagenta,Telemagenta
RAL 4011,110-99-135,#6E6387,19-27-0-47,23.15,Viola perla,Perlviolett,Viola nacré,Violeta perlado,Violetto perlato,Parelmoerdonkerviolet
RAL 4012,106-107-127,#6A6B7F,17-16-0-50,25.34,Mirtillo perlato,Perlbrombeer,Mûre nacré,Morado perlado,Mora perlato,Parelmoerlichtviolet
RAL 5000,48-79-110,#304F6E,56-28-0-57,9.81,Blu viola,Violettblau,Bleu viola,Azul violeta,Blu violaceo,Paarsblauw
RAL 5001,14-76-100,#0E4C64,86-24-0-61,8.57,Blu verde,Grünblau,Bleu vert,Azul verdoso,Blu verdastro,Groenblauw
RAL 5002,0-56-122,#00387A,100-54-0-52,7.44,Blu oltremare,Ultramarinblau,Bleu outremer,Azul ultramar,Blu oltremare,Ultramarijnblauw
RAL 5003,31-56-85,#1F3855,64-34-0-67,6.21,Blu zaffiro,Saphirblau,Bleu saphir,Azul zafiro,Blu zaffiro,Saffierblauw
RAL 5004,25-30-40,#191E28,38-25-0-84,4.62,Blu nero,Schwarzblau,Bleu noir,Azul negruzco,Blu nerastro,Zwartblauw
RAL 5005,0-83-135,#005387,100-39-0-47,10.27,Blu segnale,Signalblau,Bleu de sécurité,Azul señales,Blu segnale,Signaalblauw
RAL 5007,55-107-140,#376B8C,61-24-0-45,15.25,Blu brillante,Brillantblau,Bleu brillanti,Azul brillante,Blu brillante,Briljantblauw
RAL 5008,43-58-68,#2B3A44,37-15-0-73,7.00,Blu grigio,Graublau,Bleu gris,Azul grisáceo,Blu grigiastro,Grijsblauw
RAL 5009,33-95-120,#215F78,73-21-0-53,11.90,Blu azzurro,Azurblau,Bleu azur,Azul azur,Blu azzurro,Azuurblauw
RAL 5010,0-79-124,#004F7C,100-36-0-51,9.31,Blu genziana,Enzianblau,Bleu gentiane,Azul genciana,Blu genziana,Gentiaanblauw
RAL 5011,26-43-60,#1A2B3C,57-28-0-76,5.44,Blu acciaio,Stahlblau,Bleu acier,Azul acero,Blu acciaio,Staalblauw
RAL 5012,0-137-182,#0089B6,100-25-0-29,23.21,Blu chiaro,Lichtblau,Bleu clair,Azul luminoso,Blu luce,Lichtblauw
RAL 5013,25-49-83,#193153,70-41-0-67,6.10,Blu cobalto,Kobaltblau,Bleu cobalto,Azul cobalto,Blu cobalto,Kobaltblauw
RAL 5014,99-125-150,#637D96,34-17-0-41,21.54,Blu piccione,Taubenblau,Bleu piccione,Azul colombino,Blu colomba,Duifblauw
RAL 5015,0-124-175,#007CAF,100-29-0-31,19.03,Blu cielo,Himmelblau,Bleu ciel,Azul celeste,Blu cielo,Hemelsblauw
RAL 5017,0-91-140,#005B8C,100-35-0-45,11.46,Blu traffico,Verkehrsblau,Bleu signalisation,Azul tráfico,Blu traffico,Verkeersblauw
RAL 5018,4-139-140,#048B8C,97-1-0-45,23.01,Blu turchese,Türkisblau,Bleu turchese,Azul turquesa,Blu turchese,Turkooisblauw
RAL 5019,0-94-131,#005E83,100-28-0-49,11.79,Blu Capri,Capriblau,Bleu capri,Azul capri,Blu capri,Capriblauw
RAL 5020,0-65-75,#00414B,100-13-0-71,7.18,Blu oceano,Ozeanblau,Bleu océan,Azul océano,Blu oceano,Oceaanblauw
RAL 5021,0-117-119,#007577,100-2-0-53,15.94,Blu acqua,Wasserblau,Bleu d'eau,Azul agua,Blu acqua,Waterblauw
RAL 5022,34-45-90,#222D5A,62-50-0-65,6.01,Blu notte,Nachtblau,Bleu nocturne,Azul noche,Blu notte,Nachtblauw
RAL 5023,65-105-140,#41698C,54-25-0-45,16.13,Blu distante,Fernblau,Bleu distante,Azul lejanía,Blu distante,Verblauw
RAL 5024,96-147-172,#6093AC,44-15-0-33,28.56,Blu pastello, Pastellblau, Bleu pastello, Azul pastello, Blu pastello, Pastelblauw
RAL 5025,32-105-124,#20697C,74-15-0-51,17.91,Blu genziana perla,Perlenzian,Gentiane nacré,Gencian perlado,Blu genziana perlato,Parelmoerblauw
RAL 5026,15-48-82,#0F3052,82-41-0-68,7.63,Blu notte perla,Perlnachtblau,Bleu nuit nacré,Azul noche perlado,Blu notte perlato,Parelmoernachtblauw
RAL 6000,60-116-96,#3C7460,48-0-17-55,17.11,Verde patina,Patinagrün,Vert patine,Verde patina,Verde patina,Patinagroen
RAL 6001,54-103-53,#366735,48-0-49-60,13.54,Verde smeraldo,Smaragdgrün,Vert émeraude,Verde esmeralda,Verde smeraldo,Smaragdgroen
RAL 6002,50-89-40,#325928,44-0-55-65,11.18,Verde foglia,Laubgrün,Vert feuillage,Verde hoja,Verde foglia,Loofgroen
RAL 6003,80-83-60,#50533C,4-0-28-67,10.81,Verde oliva,Olivgrün,Vert oliva,Verde oliva,Verde oliva,Olijfgroen
RAL 6004,2-68-66,#024442,97-0-3-73,7.66,Verde blu,Blaugrün,Vert bleu,Verde azulado,Verde bluastro,Blauwgroen
RAL 6005,17-66-50,#114232,74-0-24-74,7.09,Verde muschio,Moosgrün,Vert mousse,Verde musgo,Verde muschio,Mosgroen
RAL 6006,60-57-46,#3C392E,0-5-23-76,7.51,Oliva grigia,Grauoliv,Oliva gris,Oliva grisáceo,Oliva grigiastro,Grijs olijfgroen
RAL 6007,44-50-34,#2C3222,12-0-32-80,6.33,Verde bottiglia,Flaschengrün,Vert bouteille,Verde botella,Verde bottiglia,Flessengroen
RAL 6008,54-52-42,#36342A,0-4-22-79,6.05,Verde marrone,Braungrün,Vert brun,Verde parduzco,Verde brunastro,Bruingroen
RAL 6009,39-53-42,#27352A,26-0-21-79,6.11,Verde abete,Tannengrün,Vert sapin,Verde abeto,Verde abete,Dennengroen
RAL 6010,77-111-57,#4D6F39,31-0-49-56,15.18,Verde erba,Grasgrün,Vert herbe,Verde hierba,Verde erba,Grasgroen
RAL 6011,107-124-89,#6B7C59,14-0-28-51,20.85,Verde reseda,Resedagrün,Vert réséda,Verde reseda,Verde reseda,Resedagroen
RAL 6012,47-61-58,#2F3D3A,23-0-5-76,7.01,Verde nerastro,Schwarzgrün,Vert noir,Verde negruzco,Verde nerastro,Zwartgroen
RAL 6013,124-118-90,#7C765A,0-5-27-51,20.19,Verde canna,Schilfgrün,Vert jonc,Verde caña,Verde canna,Rietgroen
RAL 6014,71-65-53,#474135,0-8-25-72,7.84,Oliva gialla,Gelboliv,Oliva jaune,Amarillo oliva,Oliva giallastro,Geel olijfgroen
RAL 6015,61-61-54,#3D3D36,0-0-11-76,7.00,Oliva nera,Schwarzoliv,Oliva nera,Oliva negruzco,Oliva nerastro,Zwart olijfgroen
RAL 6016,0-105-76,#00694C,100-0-28-59,12.99,Verde turchese,Türkisgrün,Verde turchese,Verde turchese,Verde turchese,Turkooisgroen
RAL 6017,88-127-64,#587F40,31-0-50-50,20.05,Verde maggio,Maigrün,Vert mai,Verde mayo,Verde maggio,Meigroen
RAL 6018,96-153-59,#60993B,37-0-61-40,27.51,Verde giallo,Gelbgrün,Vert jaune,Verde amarillento,Verde giallastro,Geelgroen
RAL 6019,185-206-172,#B9CEAC,10-0-17-19,58.29,Verde pastello,Weißgrün,Vert blanc,Verde blanquecino,Verde biancastro,Witgroen
RAL 6020,55-66-47,#37422F,17-0-29-74,8.28,Verde cromo,Chromoxidgrün,Vert oxyde chromique,Verde cromo,Verde cromo,Chroomoxydegroen
RAL 6021,138-153-119,#8A9977,10-0-22-40,32.14,Verde pallido,Blaßgrün,Vert pâle,Verde pálido,Verde pallido,Bleekgroen
RAL 6022,58-51-39,#3A3327,0-12-33-77,6.32, Verde oliva, Braunoliv, Oliva brun, Oliva parduzco, Oliva brunastro, Bruin olijfgroen
RAL 6024,0-131-81,#008351,100-0-38-49,19.75,Verde traffico,Verkehrsgrün,Vert signalisation,Verde tráfico,Verde traffico,Verkeersgroen
RAL 6025,94-110-59,#5E6E3B,15-0-46-57,16.16,Verde felce,Farngrün,Vert fougère,Verde helecho,Verde felce,Varengroen
RAL 6026,0-95-78,#005F4E,100-0-18-63,10.75,Verde opale,Opalgrün,Vert opale,Verde ópalo,Verde opale,Opaalgroen
RAL 6027,126-186-181,#7EBAB5,32-0-3-27,44.35,Verde chiaro,Lichtgrün,Vert clair,Verde luminoso,Verde chiaro,Lichtgroen
RAL 6028,49-84-66,#315442,42-0-21-67,10.44,Verde pino,Kieferngrün,Vert pin,Verde pino,Verde pino,Pijnboomgroen
RAL 6029,0-111-61,#006F3D,100-0-45-56,13.93,Verde menta,Minzgrün,Vert menthe,Verde menta,Verde menta,Mintgroen
RAL 6032,35-127-82,#237F52,72-0-35-50,18.79,Verde segnale,Signalgrün,Vert de sécurité,Verde señales,Verde segnale,Signaalgroen
RAL 6033,69-135-127,#45877F,49-0-6-47,22.75,Turchese menta,Minttürkis,Turchese menthe,Turchesa menta,Turchese menta,Mintturquoise
RAL 6034,122-173-172,#7AADAC,29-0-1-32,38.69,Turchese pastello,Pastelltürkis,Pastello turchese,Pastello turchese,Pastello turchese,Turchese pastello
RAL 6035,25-77-37,#194D25,68-0-52-70,10.60,Verde perla,Perlgrün,Vert nacré,Verde perlado,Verde perlato,Parelmoerdonkergroen
RAL 6036,4-87-75,#04574B,95-0-14-66,14.23,Verde opale perlato,Perlopalgrün,Vert opal nacré,Verde ópalo perlado,Verde opalo perlato,Parelmoerlichtgroen
RAL 6037,0-139-41,#008B29,100-0-71-45,21.38,Verde puro,Reingrün,Vert pur,Verde puro,Verde puro,Zuiver groen
RAL 6038,0-181-27,#00B51B,100-0-85-29,29.78,Verde luminoso,Leuchtgrün,Vert brillante,Verde brillante,Verde brillante,Briljantgroen
RAL 6039,179-196-62,#B3C43E,9-0-68-23,,Verde fibroso,Fasergrün,Vert fibra,Verde fibra,Verde fibra,Fibergroen
RAL 7000,122-136-142,#7A888E,14-4-0-44,25.68,Grigio scoiattolo,Fehgrau,Gris petit-gris,Gris ardilla,Grigio vaio,Pelsgrijs
RAL 7001,140-151-156,#8C979C,10-3-0-39,31.66,Grigio argento,Silbergrau,Gris argent,Gris plata,Grigio argento,Zilvergrijs
RAL 7002,129-120-99,#817863,0-7-23-49,22.15,Grigio oliva,Olivgrau,Gris oliva,Gris oliva,Grigio olivastro,Olijfgrijs
RAL 7003,121-118-105,#797669,0-2-13-53,20.19,Grigio muschio,Moosgrau,Gris mousse,Gris musgo,Grigio muschio,Mosgrijs
RAL 7004,154-155-155,#9A9B9B,1-0-0-39,34.79,Grigio segnale,Signalgrau,Gris de sécurité,Gris señales,Grigio segnale,Signaalgrijs
RAL 7005,107-110-107,#6B6E6B,3-0-3-57,18.03,Grigio topo,Mausgrau,Gris souris,Gris ratón,Grigio topo,Muisgrijs
RAL 7006,118-106-94,#766A5E,0-10-20-54,16.94,Grigio beige,Beigegrau,Gris beige,Gris beige,Grigio beige,Beigegrijs
RAL 7008,116-95-61,#745F3D,0-18-47-55,15.09,Grigio kaki,Khakigrau,Gris kaki,Gris caqui,Grigio kaki,Kakigrijs
RAL 7009,93-96-88,#5D6058,3-0-8-62,12.97,Grigio verde,Grüngrau,Gris vert,Gris verdoso,Grigio verdastro,Groengrijs
RAL 7010,88-92-86,#585C56,4-0-7-64,12.89,Grigio telone,Zeltgrau,Gris tente,Gris lona,Grigio tenda,Zeildoekgrijs
RAL 7011,82-89-93,#52595D,12-4-0-64,12.04,Grigio ferro,Eisengrau,Gris fer,Gris hierro,Grigio ferro,IJzergrijs
RAL 7012,87-93-94,#575D5E,7-1-0-63,14.11,Grigio basalto,Basaltgrau,Gris basalto,Gris basalto,Grigio basalto,Bazaltgrijs
RAL 7013,87-80-68,#575044,0-8-22-66,10.60,Grigio marrone,Braungrau,Gris brun,Gris parduzco,Grigio brunastro,Bruingrijs
RAL 7015,79-83-88,#4F5358,10-6-0-65,11.50,Grigio ardesia,Schiefergrau,Gris ardoise,Gris pizarra,Grigio ardesia,Leigrijs
RAL 7016,56-62-66,#383E42,15-6-0-74,8.07,Grigio antracite,Anthrazitgrau,Gris antracite,Gris antracite,Grigio antracite,Antracietgrijs
RAL 7021,47-50-52,#2F3234,10-4-0-80,6.48,Grigio nero,Schwarzgrau,Gris noir,Gris negruzco,Grigio nerastro,Zwartgrijs
RAL 7022,76-74-68,#4C4A44,0-3-11-70,9.88,Grigio ombra,Umbragrau,Gris terre d'ombre,Gris sombra,Grigio ombra,Ombergrijs
RAL 7023,128-128-118,#808076,0-0-8-50,23.20,Grigio cemento,Betongrau,Gris béton,Gris hormigón,Grigio calcestruzzo,Betongrijs
RAL 7024,69-73-78,#45494E,12-6-0-69,9.34,Grigio grafite,Graphitgrau,Gris graphite,Gris grafita,Grigio grafite,Grafietgrijs
RAL 7026,55-67-69,#374345,20-3-0-73,8.27,Grigio granito,Granitgrau,Gris granito,Gris granito,Grigio granito,Granietgrijs
RAL 7030,146-142-133,#928E85,0-3-9-43,29.36,Grigio pietra,Steingrau,Gris pierre,Gris piedra,Grigio pietra,Steengrijs
RAL 7031,91-104-109,#5B686D,17-5-0-57,16.43,Grigio blu,Blaugrau,Gris bleu,Gris azulado,Grigio bluastro,Blauwgrijs
RAL 7032,181-176-161,#B5B0A1,0-3-11-29,44.61,Grigio ghiaia,Kieselgrau,Gris silex,Gris guijarro,Grigio ghiaia,Kiezelgrijs
RAL 7033,127-130-116,#7F8274,2-0-11-49,24.14,Grigio cemento,Zementgrau,Gris ciment,Gris cemento,Grigio cemento,Cementgrijs
RAL 7034,146-136-111,#92886F,0-7-24-43,27.28,Grigio giallo,Gelbgrau,Gris jaune,Gris amarillento,Grigio giallastro,Geelgrijs
RAL 7035,197-199-196,#C5C7C4,1-0-2-22,58.34,Grigio luce,Lichtgrau,Gris clair,Gris luminoso,Grigio luce,Lichtgrijs
RAL 7036,151-147-146,#979392,0-3-3-41,31.66,Grigio platino,Platigrau,Gris platino,Gris platino,Grigio platino,Platinagrijs
RAL 7037,122-123-122,#7A7B7A,1-0-1-52,22.95,Grigio polvere,Staubgrau,Gris poussière,Gris polvo,Grigio polvere,Stofgrijs
RAL 7038,176-176-169,#B0B0A9,0-0-4-31,45.28,Grigio agata,Achatgrau,Gris agata,Gris ágata,Grigio agata,Agaatgrijs
RAL 7039,107-102-94,#6B665E,0-5-12-58,16.62,Grigio quarzo,Quarzgrau,Gris quarzo,Gris cuarzo,Grigio quarzo,Kwartsgrijs
RAL 7040,152-158-161,#989EA1,6-2-0-37,35.91,Grigio finestra,Fenstergrau,Gris fenêtre,Gris ventana,Grigio finestra,Venstergrijs
RAL 7042,142-146-145,#8E9291,3-0-1-43,30.93,Grigio traffico A,Verkehrsgrau A,Gris signalisation A,Gris tráfico A,Grigio traffico A,Verkeersgrijs A
RAL 7043,79-82-80,#4F5250,4-0-2-68,11.35,Grigio traffico B,Verkehrsgrau B,Gris signalisation B,Gris tráfico B,Grigio traffico B,Verkeersgrijs B
RAL 7044,183-179-168,#B7B3A8,0-2-8-28,47.21,Grigio seta,Seidengrau,Gris soie,Gris seda,Grigio seta,Zijdegrijs
RAL 7045,141-146-149,#8D9295,5-2-0-42,31.21,Telegrey 1,Telegrau 1,Telegris 1,Grigio tele 1,Grigio tele 1,Telegrijs 1
RAL 7046,126-134-138,#7E868A,9-3-0-46,25.48,Telegrey 2,Telegrau 2,Telegris 2,Grigio tele 2,Grigio tele 2,Telegrijs 2
